#Link #	Contact A	Contact B	Node A	Node B	Length
1	1	12	1	2	150
2	4	41	1	7	350
3	5	14	1	3	210
4	10	43	2	7	310
5	7	17	2	4	420
6	15	26	3	5	200
7	20	45	4	8	460
8	21	40	5	7	90
9	23	28	5	6	100
10	31	55	6	9	270
11	30	37	6	7	210
12	34	48	7	8	180
13	36	54	7	9	200
14	50	57	8	10	120
15	52	60	9	10	170
16	11	2	2	1	150
17	42	3	7	1	350
18	13	6	3	1	210
19	44	9	7	2	310
20	18	8	4	2	420
21	25	16	5	3	200
22	46	19	8	4	460
23	39	22	7	5	90
24	27	24	6	5	100
25	56	32	9	6	270
26	38	29	7	6	210
27	47	33	8	7	180
28	53	35	9	7	200
29	58	49	10	8	120
30	59	51	10	9	170
